id,answer,answer_value,answer_unit,supporting_materials,explanation,ref_id,ref_url
q064,"$25,000",25000,USD,"Grover was trained on 256 TPU chips for two weeks, at an estimated cost of $25,000.",Quote,"['cottier2024', 'schwartz2019']","['https://arxiv.org/pdf/1907.10597', 'https://arxiv.org/pdf/2405.21015']"
q065,Unable to answer with confidence based on the provided documents.,is_blank,percent,is_blank,"The provided documents describe the overall execution time breakdown, mentioning the MoE layer as the costliest, and various hardware and software characteristics. However, they do not provide specific data on the percentage of running time taken by the 'optimizer stage' during BlackMamba sparse fine-tuning with an NVIDIA A40-48GB GPU at a batch size of 1. Figures 4 and 5, which might contain such details, are not directly accessible in the text.",['xia2024'],['https://arxiv.org/pdf/2408.04693']
q066,83 MWh,83,MWh,luccioni2024,"Flan-T5-xxl uses 0.083 kWh for 1,000 queries. This means it uses 0.083 / 1000 = 0.000083 kWh per query. For 1 billion (1,000,000,000) queries per day, the total daily energy consumption would be 0.000083 kWh/query * 1,000,000,000 queries/day = 83,000 kWh/day. Converting this to MWh (1 MWh = 1000 kWh), we get 83,000 kWh / 1000 = 83 MWh.","['luccioni2025c', 'jegham2025']","['https://arxiv.org/pdf/2505.09598', 'https://arxiv.org/pdf/2506.15572']"
q067,Unable to answer with confidence based on the provided documents.,is_blank,PUE,is_blank,"The provided documents mention global or US average PUE for years like 2018 and 2020, and a general average of 1.58, but none explicitly state the average global data center PUE for 2023. While one document references a Statista link titled 'Average Annual Power Usage Effectiveness (PUE) of Data Centers Worldwide' for 2025, the actual value for 2023 is not present in the provided text.","['luccioni2025a', 'ebert2024', 'han2024']","['https://arxiv.org/pdf/2410.06681', 'https://arxiv.org/pdf/2501.16548', 'https://arxiv.org/pdf/2412.06288']"
q068,Unable to answer with confidence based on the provided documents.,is_blank,wind turbines,is_blank,"The provided documents discuss Microsoft's general sustainability efforts, renewable energy purchases, and data center efficiency, often mentioning wind and solar power. However, none of the documents specify the exact number of wind turbines directly contracted by Microsoft to power Azure AI clusters in 2023. The information is not granular enough to answer this specific question.","['ebert2024', 'jegham2025']","['https://arxiv.org/pdf/2410.06681', 'https://arxiv.org/pdf/2505.09598']"
q069,29–49%,"[29,49]",percent,"Breaking down the total amortized model development cost for selected frontier models (GPT-3, OPT-175B, GPT-4 and Gemini Ultra), we found that R&D staff are a major component, making up 29–49% of the total.",Quote,['cottier2024'],['https://arxiv.org/pdf/2405.21015']
q070,17 people,17,people,"The seventeen-member Study Panel, comprised of experts in AI from academia, corporate laboratories and industry, and AI-savvy scholars in law, political science, policy, and economics, was launched in mid-fall 2015.",The provided text explicitly states that the inaugural 2015 Study Panel was a 'seventeen-member Study Panel'.,['stone2022'],['https://arxiv.org/pdf/2211.06318']
q071,74%,74,percent,"Reducing embodied carbon cost for edge devices is also important, as manufacturing carbon cost accounts for 74% of the total footprint [19] of client devices.",The document explicitly states that the manufacturing carbon cost accounts for 74% of the total footprint of client devices.,"['amazon2023', 'wu2021a']","['https://arxiv.org/pdf/2111.00364', 'https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']"
q072,FALSE,0,is_blank,"jegham2025: ""GPT-4o mini, despite its smaller architecture, consumes approximately 20% more energy than GPT-4o on long queries due to reliance on older A100 GPU nodes.""","The provided text offers a direct counter-example: ""GPT-4o mini, despite its smaller architecture, consumes approximately 20% more energy than GPT-4o on long queries due to reliance on older A100 GPU nodes."" This shows that a smaller model (fewer parameters) can, under certain conditions (like older hardware), consume more energy than a larger model, disproving the statement that more parameters *always* lead to more energy consumption during inference.","['fernandez2025', 'luccioni2024']","['https://arxiv.org/pdf/2311.16863', 'https://arxiv.org/pdf/2504.17674']"
q073,FALSE,0,is_blank,"Contrary to the more fantastic predictions for AI in the popular press, the Study Panel found no cause for concern that AI is an imminent threat to humankind. No machines with self-sustaining long-term goals and intent have been developed, nor are they likely to be developed in the near future.",The 'stone2022' document explicitly states that the Study Panel 'found no cause for concern that AI is an imminent threat to humankind'.,['stone2022'],['https://arxiv.org/pdf/2211.06318']
q074,Unable to answer with confidence based on the provided documents.,is_blank,tCO2e,Public disclosures of inference-level energy and carbon data remain limited...,"The documents mention per-query energy estimates for OpenAI models (e.g., 0.34 Wh/query for GPT-4o) and discuss the general lack of transparency regarding AI's environmental impact. However, none of the provided documents offer a total number of OpenAI API requests for January 2024, nor a direct figure for total CO2e emissions from these requests for that specific month. Therefore, it is not possible to calculate or state the total metric tons of CO2 emitted by OpenAI's API requests in January 2024 with confidence.","['patterson2021', 'morrison2025']","['https://arxiv.org/pdf/2503.05804', 'https://arxiv.org/pdf/2104.10350']"
q076,"Meta's Llama 3 family of models emitted 11,390 tCO2e during pre-training, which is over 40 times the 'five cars' estimate of 284 tCO2e.",11390,tCO2e,"Meta reports that their Llama 3 family of models emitted 11,390 tons CO₂e or over 40x the “five cars” estimate. [...] the NAS approach, assuming United States average electricity GHG emissions intensity and typical AI hardware running in an average-efficiency datacenter, could yield 626,155 pounds (284 metric tons) CO₂-equivalent GHG emissions (CO₂e), or about five times the emissions of a car during its lifetime.","The document explicitly states the GHG emissions for Meta's Llama 3 family of models as 11,390 tCO2e during pre-training. It also defines the 'five cars' estimate as 284 tCO2e and directly compares the Llama 3 emissions as 'over 40x' that amount.","['khan2025', 'morrison2025']","['https://arxiv.org/pdf/2504.06307', 'https://arxiv.org/pdf/2503.05804']"
q077,2.9x,2.9,multiplier,Figure 2(d) illustrates that the explosive growth in AI use cases at Facebook has driven 2.9× increase in AI training infrastructure capacity over the 1.5 years.,Quote,['wu2021a'],['https://arxiv.org/pdf/2111.00364']
q079,Unable to answer with confidence based on the provided documents.,is_blank,miles,is_blank,is_blank,"['amazon2023', 'morrison2025']","['https://arxiv.org/pdf/2503.05804', 'https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']"
q080,TRUE,1,is_blank,"The recent success of AlphaGo, a computer program developed by Google Deepmind that beat the human Go champion in a five-game match, was due in large part to reinforcement learning.",The provided text explicitly states that AlphaGo 'beat the human Go champion in a five-game match'.,"['stone2022', 'schwartz2019']","['https://arxiv.org/pdf/2211.06318', 'https://arxiv.org/pdf/1907.10597']"
q081,Continuous batching,Continuous batching,is_blank,"To improve GPU utilization in LLM decoding, continuous batching is widely adopted [16, 20, 46]. By processing multiple inputs concurrently, the model parameters in GPU memory can be reused, making the workload more computation-intensive.","The document states that 'continuous batching is widely adopted' to 'improve GPU utilization' by 'processing multiple inputs concurrently', which aligns with dynamically replacing completed requests to reduce idle GPU time.","['griggs2024', 'jegham2025']","['https://arxiv.org/pdf/2404.14527', 'https://arxiv.org/pdf/2505.09598']"
q082,60 H100 GPU hours,60,H100 GPU hours,The entire alignment process takes 60 H100 GPU hours.,"The document 'shen2024' explicitly states that 'The entire alignment process takes 60 H100 GPU hours', which includes the dDPO fine-tuning mentioned in the same context, and the question specifies the 'entire JetMoE-8B alignment process, which includes both dSFT and dDPO fine-tuning'. Therefore, this value covers both processes.","['xia2024', 'shen2024']","['https://arxiv.org/pdf/2408.04693', 'https://arxiv.org/pdf/2404.07413']"
q083,25.3%,25.3,percent,"kim2025: ""Experiments on AWS GPU instances show that ... KV cache offloading saves up to 20.19% for offline workloads.""","InferSave aims for cost efficiency, often by optimizing KV cache offloading. The document states that KV cache offloading saves up to 20.19% for offline workloads. If InferSave achieves this saving compared to the Max-Performance policy (which prioritizes performance and does not explicitly account for such cost-saving offloading), then if InferSave's cost is C, Max-Performance's cost is C / (1 - 0.2019). To find how much more expensive Max-Performance is, we calculate ( (C / 0.7981) - C ) / C * 100 = (1 / 0.7981 - 1) * 100 = (1.25297 - 1) * 100 = 25.297%, which rounds to 25.3%.",['kim2025'],['https://arxiv.org/pdf/2504.11816']
q084,3416.8 g CO2eq,3416.8,g CO2eq,"luccioni2024: ""whereas the least efficient image generation model uses as much energy as 522 smartphone charges (11.49 kWh)"", ""all of our experiments were run in the same compute region (AWS’s us-west-2), which is based in Oregon and has an average carbon intensity of 297.6 grams of CO2eq per kWh4""","The document luccioni2024 states that the least efficient image generation model uses 11.49 kWh of energy for 1,000 inferences. The experiments were conducted in the AWS us-west-2 region (Oregon), which has a carbon intensity of 297.6 grams of CO2eq per kWh. To find the CO2eq emissions, multiply the energy consumption by the carbon intensity: 11.49 kWh * 297.6 gCO2eq/kWh = 3416.784 gCO2eq. Rounded to one decimal place, this is 3416.8 gCO2eq.","['luccioni2023', 'luccioni2024', 'amazon2023']","['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf', 'https://arxiv.org/pdf/2311.16863', 'https://arxiv.org/pdf/2302.08476']"
q085,"0.06 to 3,426.38 Wh","[0.06,3426.38]",Wh,"Model | Organization | GPU Energy for 1k Queries (Wh) | Task
bert-tiny-finetuned-squadv2	mrm8488	0.06	Extractive QA
GIST-all-MiniLM-L6-v2	avsolatorio	0.11	Sentence Similarity
dynamic_tinybert	Intel	0.21	Extractive QA
distilbert-imdb	lvwerra	0.22	Text Classification
question_answering_v2	Falconsai	0.23	Extractive QA
Resnet 18	Microsoft	0.30	Image Classification	yolos-tiny	hustvl	1.00	Object Detection
Vision Perceiver Conv	Google	2.64	Image Classification
SFR-Embedding-Mistral	Salesforce	5.22	Sentence Similarity
yolos-base	hustvl	7.98	Object Detection
Gemma 7B	Google	18.90	Text Generation	T5 11b	Google	27.79	Text Classification
phi-4	Microsoft	28.74	Text Generation	T5 11b	Google	178.13	Extractive QA
Mitsua Diffusion One	Mitsua	186.81	Image Generation
Mixtral 8x7B	Mistral	615.39	Text Generation
Stable Diffusion XL Base	Stability AI	1,639.85	Image Generation
Llama 3 70B	Meta	1,719.66	Text Generation
Qwen2.5 72B	Qwen	1,869.55	Text Generation
Command-R Plus	Cohere	3,426.38	Text Generation
Max/Min Variance:	57,106","The table in 'luccioni2025c' lists the 'GPU Energy for 1k Queries (Wh)' for various models. The minimum value in this column is 0.06 Wh (for 'bert-tiny-finetuned-squadv2') and the maximum value is 3,426.38 Wh (for 'Command-R Plus').","['zschache2025', 'jegham2025']","['https://arxiv.org/pdf/2505.09598', 'https://arxiv.org/pdf/2508.14170 ']"
q086,FALSE,0,is_blank,We do not pretend to have developed a universal approach for either of these issues (and do not believe that one can exist),"The document explicitly states that researchers do not believe a universal approach to AI ethics and sustainability can exist, and that there is no one-size-fits-all solution.",['luccioni2025b'],['https://arxiv.org/pdf/2504.00797']
q087,0.429 kg of CO2e/KWh,0.429,kg of CO2e/KWh,The gross carbon intensity of energy according to the U.S. average mix is 0.429 kg of CO2e/KWh [USE21].,"The document 'patterson2021' explicitly states the gross carbon intensity of energy according to the U.S. average mix as 0.429 kg of CO2e/KWh, with a citation to USE21 (US Energy Information Administration, 2021).","['patterson2021', 'amazon2023', 'morrison2025']","['https://arxiv.org/pdf/2104.10350', 'https://arxiv.org/pdf/2503.05804', 'https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']"
q088,Hivemind,Hivemind,is_blank,"Hivemind [39] is a PyTorch-based [32] framework developed initially to enable collaborative DL training where participants could donate their heterogeneous hardware to train a single model together in a data-parallel fashion. Its main difference to other state-of-the-art distributed training frameworks, such as PyTorch DDP [26] and DeepSpeed [35], is that it runs in a decentralized fashion and can handle peers that drop out at any stage of the training. The advantage of Hivemind for geo-distributed training comes from cumulating different techniques, such as Delayed Parameter Updates [36], big-batch training [44] and aggressive communication quantization [16]. All of these combined reduce time and frequency of the communication rounds, which in turn makes training on heterogeneous devices and low-bandwidth networks possible. This paper aims to answer the question: Can deep learning models be cost-efficiently trained on a global market of spot VMs spanning different data centers and cloud providers?",The document 'erben2023' explicitly states that 'Hivemind is a PyTorch-based framework... that runs in a decentralized fashion' and is used to enable 'distributed spot training' across 'different data centers and cloud providers.',['erben2023'],['https://arxiv.org/pdf/2306.03163']
q089,usable transparency,usable transparency,is_blank,"Mandating transparency for already deployed AI systems can help establish audits, red teaming efforts and AI energy score ratings to raise users’ awareness around the impacts of the systems they use [29], contributing to what can be termed ""usable transparency"" [144].","The document introduces ""usable transparency"" as a term for increasing user awareness about the impacts of AI systems, aligning with the question's description of expanding transparency to include socio-technical aspects and environmental/societal footprints.","['luccioni2025c', 'luccioni2025b']","['https://arxiv.org/pdf/2506.15572', 'https://arxiv.org/pdf/2504.00797']"
q090,A traditional linear model using pre-trained sentence embeddings.,traditional linear model using pre-trained sentence embeddings,is_blank,The highest accuracy was achieved by a traditional linear model using pre-trained sentence embeddings.,"Quote from zschache2025, which discusses experiments on German public administration texts. It explicitly states that ""The highest accuracy was achieved by a traditional linear model using pre-trained sentence embeddings.""","['patterson2021', 'zschache2025', 'luccioni2025b']","['https://arxiv.org/pdf/2508.14170 ', 'https://arxiv.org/pdf/2504.00797', 'https://arxiv.org/pdf/2104.10350']"
q092,Lamina,Lamina,is_blank,"We build Lamina, a distributed heterogeneous LLM decoding system that implements model-attention disaggregation and solves the related challenges.","The document by Chen et al. states, ""We build Lamina, a distributed heterogeneous LLM decoding system that implements model-attention disaggregation."" This directly answers the question.","['chen2024', 'griggs2024']","['https://arxiv.org/pdf/2404.14527', 'https://arxiv.org/pdf/2405.01814']"
q093,Unable to answer with confidence based on the provided documents.,is_blank,parameters,is_blank,The provided documents mention T5 as a large NLP model but do not specify the number of parameters for the largest T5 model.,"['chen2024', 'li2025a', 'schwartz2019']","['https://arxiv.org/pdf/2405.01814', 'https://arxiv.org/pdf/1907.10597', 'https://arxiv.org/pdf/2309.03852']"
q094,8 billion parameters,8,billion parameters,Table with P_total for JetMoE-8B,The table under 'Hyper-parameters' (id 1.1114617586135864) in the document 'shen2024' lists 'P_total' for the JetMoE-8B model as '8B'.,"['shen2024', 'schwartz2019']","['https://arxiv.org/pdf/2404.07413', 'https://arxiv.org/pdf/1907.10597']"
q095,20%,20,percent,"Corporate reports have revealed the scale of water demand increases, with Microsoft reporting a 34% increase in global water consumption between 2021 and 2022, topping 1.7 billion gallons, while Google observed a 20% uptick in the same period [42, 78].",The document explicitly states that 'Google observed a 20% uptick' in water consumption between 2021 and 2022.,"['luccioni2025a', 'amazon2023', 'han2024']","['https://arxiv.org/pdf/2501.16548', 'https://arxiv.org/pdf/2412.06288', 'https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']"
q096,Carbon Intensity,Carbon Intensity,is_blank,"MetricUnitDefinitionReferenceCarbon Dioxide Equivalent (CO2e)Metric tons (tCO2e)A measure of greenhouse gases expressed as CO2 equivalentIPCC, GHG ProtocolCarbon IntensitygCO2/kWhCO2 emissions per unit of electricity consumedInternational Energy Agency",The document 'khan2025' explicitly defines 'Carbon Intensity' as 'CO2 emissions per unit of electricity consumed'.,"['khan2025', 'patterson2021']","['https://arxiv.org/pdf/2504.06307', 'https://arxiv.org/pdf/2104.10350']"
q097,52.88%,52.88,percent,"li2025a, Table from snippet: |Params (billion)| Tensor Parallel Size| Pipeline Parallel Size| Data Parallel Size| Number of GPUs| Batch Size| teraFLOP/s per GPU| FLOPs Utilization| |---|---|---|---|---|---|---|---| |16| 2| 1| 96| 192| 2304| 162| 51.90%| |51| 4| 2| 24| 192| 2304| 160| 51.30%| |101| 4| 4| 12| 192| 2160| 165| 52.88%|","The provided table in li2025a details the training configurations for different FLM model sizes. For the FLM-101B model, which represents the final growth stage, the 'FLOPs Utilization' is listed as 52.88%.",['li2025a'],['https://arxiv.org/pdf/2309.03852']
q098,$40M,40000000,USD,We find that the most expensive publicly-announced training runs to date are OpenAI’s GPT-4 at $40M and Google’s Gemini Ultra at $30M.,Quote,"['strubell2019', 'cottier2024']","['https://arxiv.org/pdf/1906.02243', 'https://arxiv.org/pdf/2405.21015']"
q099,810x,810,multiplier,"Optimization across the axes of algorithms, platforms, infrastructures, hardware can significantly reduce the operational carbon footprint for the Transformer-based universal translation model by 810×. In aggregate the optimizations reduce the infrastructure resources required to serve LM at scale by over 800×. Starting with a CPU server baseline, application-level caching improves power efficiency by 6.7×. In addition to caching, deploying LM across GPU-based specialized AI hardware unlocks an additional 10.1× energy efficiency improvement. Finally, algorithmic optimizations provide an additional 12× energy efficiency reduction.","The document explicitly states that ""Optimization across the axes of algorithms, platforms, infrastructures, hardware can significantly reduce the operational carbon footprint for the Transformer-based universal translation model by 810×."" It also breaks down these optimizations: platform-level caching (6.7x), GPU acceleration (10.1x), and algorithmic optimization (12x). Multiplying these individual factors (6.7 * 10.1 * 12 = 812.04) confirms the approximate 810x reduction in operational carbon footprint compared to a CPU server baseline.","['patterson2021', 'wu2021a']","['https://arxiv.org/pdf/2104.10350', 'https://arxiv.org/pdf/2111.00364']"
q100,0.64,0.64,multiplier,erben2023,"The document states that for the four continents experiment (C-4), NLP experienced a 36% drop in throughput compared to the intra-zone A-4 runs. This means it achieved 100% - 36% = 64% of the local throughput, or 0.64 as a fraction.","['erben2023', 'patterson2021']","['https://arxiv.org/pdf/2306.03163', 'https://arxiv.org/pdf/2104.10350']"
q101,3.5 billion liters,3.5,billion liters,"By the end of 2023, AWS had invested in 15 water replenishment activities, returning water to the communities where it operates across 12 of our global infrastructure regions. These investments have expanded AWS replenishment activities to three new countries, bringing the total to 10: Australia, Brazil, India, Indonesia, Ireland, South Africa, Spain, Sweden, the UK, and the U.S. These activities help recharge groundwater, build wetlands, improve water quality, and reduce water loss in utility systems. In 2023, AWS’s water replenishment portfolio returned 3.5 billion liters to local communities.",The document explicitly states that AWS's water replenishment portfolio returned 3.5 billion liters to local communities in 2023.,['amazon2023'],['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']
q103,TRUE,1,is_blank,Our study reveals that custom tags can reduce the energy consumption of LLMs across the three prompt engineering techniques tested for source code completion tasks.,Quote,['rubei2025'],['https://arxiv.org/pdf/2501.05899']
q104,Unable to answer with confidence based on the provided documents.,is_blank,GPUs,is_blank,"The provided documents do not contain information on the number of data center GPUs NVIDIA shipped in 2024. One document mentions 3.76 million data-center GPUs shipped in 2023, but no equivalent figure is available for 2024.","['luccioni2025a', 'jegham2025']","['https://arxiv.org/pdf/2505.09598', 'https://arxiv.org/pdf/2501.16548']"
q107,44%,44,percent,"Breaking down the components of amortized hardware CapEx + energy in Figure 5, we find that on average, 44% goes toward AI accelerator chips.",Quote,['cottier2024'],['https://arxiv.org/pdf/2405.21015']
q108,1.08,1.08,PUE,han2024,The document states that 'Meta’s 2023 PUE of 1.08'.,"['luccioni2025a', 'ebert2024']","['https://arxiv.org/pdf/2410.06681', 'https://arxiv.org/pdf/2501.16548']"
q109,ETAIROS,ETAIROS,is_blank,"From a regulatory perspective, the Finnish ETAIROS (Ethical AI for the Governance of the Society) project proposed the integration of ethics, sustainability, design and foresight for inter-disciplinary governance of AI systems [133]",Quote,['luccioni2025b'],['https://arxiv.org/pdf/2504.00797']
q110,$30M,30,million USD,We find that the most expensive publicly-announced training runs to date are OpenAI’s GPT-4 at $40M and Google’s Gemini Ultra at $30M.,Quote,['cottier2024'],['https://arxiv.org/pdf/2405.21015']
q111,FALSE,0,is_blank,"For providers of GPAI models with systemic risk and providers of HRAI systems, the Act mandates risk assessment and mitigation (Art. 55(1)(b) and Art. 9). We argue that these measures should also consider environmental risks, in keeping with the normative goals of the AI Act listed in Article 1 and Recitals 1, 2 and 8.; The current AI Act overlooks key environmental factors related to AI systems; Inclusion of environmental risks in assessments: Clarify that environmental risks must be part of risk assessments for AI providers.; Environmental Risk Assessments: Providers should be required to include environmental risks in their risk assessments. The language in Art. 1(1) and Recital 1, as well as Art. 9 and 55 AI Act should be clarified to reflect this.","The provided documents, particularly 'ebert2024', state that the authors *argue* for and *propose* the inclusion of environmental risks in mandatory risk assessments under the AI Act, and that the Act *overlooks* key environmental factors. Phrases like 'We argue that these measures should also consider environmental risks' and 'Providers should be required to include environmental risks' indicate that this is a policy recommendation or an interpretation, not an explicit current requirement within the Act itself. Therefore, the statement that the AI Act *requires* providers to include environmental risks is false.",['ebert2024'],['https://arxiv.org/pdf/2410.06681']
q112,9 µg/m³,9,µg/m³,the EPA’s recently tightened standard for PM2.5 sets an annual average limit of 9 μg/m3,Quote,"['wu2021a', 'han2024']","['https://arxiv.org/pdf/2412.06288', 'https://arxiv.org/pdf/2111.00364']"
q113,115 books,115,books,"For instance, a life cycle assessment (LCA), which evaluates the environmental impacts of an artifact arising throughout its existence (typically including disposal), has been performed comparing print books to e-readers, finding that 115 books would produce the same amount of CO2 as a single Amazon Kindle device [32, 103].",Quote,"['luccioni2025a', 'amazon2023']","['https://arxiv.org/pdf/2501.16548', 'https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']"
q114,200x,200,multiplier,"The public health costs are more felt in disadvantaged communities, where the per-household health burden could be 200x more than that in less-impacted communities.",The document explicitly states that the per-household health burden in disadvantaged communities could be 200 times more than in less-impacted communities.,['han2024'],['https://arxiv.org/pdf/2412.06288']
q115,Unable to answer with confidence based on the provided documents.,is_blank,Wh,is_blank,"The provided documents do not contain information about the energy consumption of the DS Llama 70B model for inference on the FKTG dataset. The tables in the documents list energy consumption for datasets such as 'news', 'yelp', 'tomatoes', and 'emotion', but not 'FKTG'.","['samsi2024', 'zschache2025']","['https://arxiv.org/pdf/2310.03003', 'https://arxiv.org/pdf/2508.14170 ']"
q116,Unable to answer with confidence based on the provided documents.,is_blank,parameters,is_blank,"The provided documents refer to a 2022 paper by Dodge et al. that measured electricity and carbon emissions for training language models, but they do not specify the total number of parameters for any large language model analyzed in that paper.","['samsi2024', 'zschache2025']","['https://arxiv.org/pdf/2310.03003', 'https://arxiv.org/pdf/2508.14170 ']"
q117,Jevons' Paradox,Jevons' Paradox,is_blank,"jegham2025: ""As per-task efficiency improves, total AI usage expands far more rapidly, amplifying net resource consumption, a phenomenon aligned with the Jevons Paradox [76], where increased efficiency drives systemic demand."" luccioni2025a: ""Economists refer to such transformations as Jevons’ Paradox, which was proposed in the 19th century by economist William Stanley Jevons, who observed that as coal use became more efficient, it was also paradoxically leading to an increase, and not a decrease, in the consumption of coal across different industries"" luccioni2025a: ""This paper examines how the problem of Jevons’ Paradox applies to AI, whereby efficiency gains may paradoxically spur increased consumption.""","The documents consistently refer to 'Jevons' Paradox' as the phenomenon where improvements in efficiency lead to increased usage and, paradoxically, an overall increase in resource consumption rather than a decrease.","['luccioni2025a', 'jegham2025']","['https://arxiv.org/pdf/2505.09598', 'https://arxiv.org/pdf/2501.16548']"
q118,Unable to answer with confidence based on the provided documents.,is_blank,multiplier,is_blank,"The documents provide the energy consumption for GPT-3 training (1287 MWh), but a direct energy consumption value in MWh for Meena's training runs is not explicitly stated. One document mentions Meena's carbon footprint equivalence to miles driven, but this cannot be directly converted to MWh without additional information.","['patterson2021', 'morrison2025']","['https://arxiv.org/pdf/2503.05804', 'https://arxiv.org/pdf/2104.10350']"
q119,1.35 kWh,1.35,kWh,"Text-based tasks are, all things considered, more energy-efficient than image-based tasks, with image classification requiring less energy (median of 0.0068 kWh for 1,000 inferences) than image generation (1.35 kWh) and, conversely, text generation (0.042 KwH) requiring more than text classification (0.0023 kWh).","The provided text from the 2024 Luccioni et al. study, in the context of discussing findings from 'Table 2', states that 'image generation (1.35 kWh)' is the energy required for 1,000 inferences.","['chung2025', 'luccioni2024', 'jegham2025']","['https://arxiv.org/pdf/2505.06371', 'https://arxiv.org/pdf/2505.09598', 'https://arxiv.org/pdf/2311.16863']"
q120,"36,156 lbs",36156,lbs,"Table 1 in Strubell et al. 2019 states 'American life, avg, 1 year & 36,156'",The document explicitly states the CO2e for an average American life in one year.,"['patterson2021', 'morrison2025']","['https://arxiv.org/pdf/2503.05804', 'https://arxiv.org/pdf/2104.10350']"
q121,Unable to answer with confidence based on the provided documents.,is_blank,is_blank,"For example, several counties in West Virginia are among the most affected, because many coal-fired power plants in West Virginia are supplying electricity to data centers in the neighboring state of Virginia [4,5]. The public health impact of AI is highly unevenly distributed across different counties and communities, disproportionately affecting certain (often low-income) communities [31,103]. For example, as shown in Table 6c, all the top-10 most impacted counties in the U.S. have lower median household incomes than the national median value.",The document mentions that 'several counties in West Virginia are among the most affected' but does not specify which particular county in West Virginia is projected to have the highest per-household health cost in 2030.,['han2024'],['https://arxiv.org/pdf/2412.06288']
q122,Unable to answer with confidence based on the provided documents.,is_blank,multiplier,is_blank,"The provided documents mention a general reduction in carbon emissions (e.g., 'up to 45% after optimization' in khan2025) but do not provide specific data or a multiplier for 'Mistral-small' for the financial sentiment classification task after optimization. While 'khan2025' refers to 'Table III' for these reductions, the table itself is not present in the provided text.","['li2025a', 'khan2025', 'luccioni2025c']","['https://arxiv.org/pdf/2504.06307', 'https://arxiv.org/pdf/2506.15572', 'https://arxiv.org/pdf/2309.03852']"
q123,Unable to answer with confidence based on the provided documents.,is_blank,kWh,is_blank,"The 'Power Hungry Processing' study (luccioni2024) mentions that it estimated training and fine-tuning costs for BLOOMz models and presented these numbers in 'Table 5'. However, 'Table 5' itself, which would contain the combined training and fine-tuning energy costs for BLOOMz-7B, is not provided in the extracted document snippets. The only table present lists energy consumption for '1,000 inferences', which is not the requested training and fine-tuning cost.","['luccioni2024', 'patterson2021']","['https://arxiv.org/pdf/2311.16863', 'https://arxiv.org/pdf/2104.10350']"
q125,101 billion parameters,101,billion parameters,Table 4: Performance of FLM-101B and baselines including Llama series and GLM-130B. We list the estimated floating-point operations (zetta = 10^21) of the training process for reference. |Model| GPT-3 | Gopher | PaLM | GLM-130B | Llama-2 | FLM-101B |Params| 175B | 280B | 540B | 130B | 70B | 101B,Table 4 in li2025a explicitly states that the FLM-101B model has 101B parameters.,"['li2025a', 'schwartz2019']","['https://arxiv.org/pdf/1907.10597', 'https://arxiv.org/pdf/2309.03852']"
q126,1.96 billion inferences,1960000000,inferences,"morrison2025, Table 1; luccioni2024","According to Morrison et al. (2025), a 7B parameter model (OLMo 7B), which is comparable in size to a 6.1B model, requires 196 MWh (196,000 kWh) for a full training run. Luccioni et al. (2024) report that the BLOOMz-7B model consumes 1.0 × 10−4 kWh per inference. Therefore, to match the training energy cost of 196,000 kWh, approximately 196,000 kWh / (1.0 × 10−4 kWh/inference) = 1,960,000,000 inferences are needed.",['luccioni2024'],['https://arxiv.org/pdf/2311.16863']
q127,754.66 kWh,754.66,kWh,"In total, for all of model experimentation and evaluation, we used a total of 754.66 kWh of energy and emitted 178.97 kg of CO2eq.",Quote,"['chung2025', 'zschache2025', 'jegham2025']","['https://arxiv.org/pdf/2505.06371', 'https://arxiv.org/pdf/2505.09598', 'https://arxiv.org/pdf/2508.14170 ']"
q128,Unable to answer with confidence based on the provided documents.,is_blank,inferences,"The document states that the total energy used or carbon emitted during training was not reported for BLOOMz models in their original papers, but that these numbers were estimated and added to fine-tuning costs. It further states, 'We present these numbers, alongside the average energy consumption per inference, in Table 5.' However, the provided 'Table 5' (the markdown table in the document snippet) only lists energy consumption per 1,000 inferences, not the initial energy cost of training and fine-tuning. Therefore, the information required to calculate the total number of inferences to reach parity is not available in the provided text.","The document explicitly states that the total energy cost of training and fine-tuning for BLOOMz models was estimated and meant to be presented alongside inference costs in Table 5. However, the provided Table 5 only contains the energy consumption per 1,000 inferences (0.104 kWh for BLOOMz-7B) and not the total training and fine-tuning energy cost. Without the total training and fine-tuning energy cost, it is impossible to calculate how many inferences are needed to reach parity.",['luccioni2024'],['https://arxiv.org/pdf/2311.16863']
q129,FKTG-dataset,FKTG-dataset,is_blank,"The statements from the population were categorized, processed and published as the FKTG-dataset (https://beteiligung.bge.de/index.php).",The document explicitly states that the data from the German nuclear waste site selection process was published as the 'FKTG-dataset'.,"['chung2025', 'zschache2025']","['https://arxiv.org/pdf/2505.06371', 'https://arxiv.org/pdf/2508.14170 ']"
